message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.422794])";"30";"turtlesim2.sim";"1699873233.217308559";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.430203])";"30";"turtlesim1.sim";"1699873233.216415893";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.415386])";"30";"turtlesim3.sim";"1699873233.207128878";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.422794])";"30";"turtlesim1.sim";"1699873233.200919258";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.415386])";"30";"turtlesim2.sim";"1699873233.200820604";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.407978])";"30";"turtlesim3.sim";"1699873233.190880843";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.407978])";"30";"turtlesim1.sim";"1699873233.169013517";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.400569])";"30";"turtlesim2.sim";"1699873233.168963786";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.393161])";"30";"turtlesim3.sim";"1699873233.158889611";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.393161])";"30";"turtlesim2.sim";"1699873233.153385077";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.400569])";"30";"turtlesim1.sim";"1699873233.152504231";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.385753])";"30";"turtlesim3.sim";"1699873233.142706687";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.385753])";"30";"turtlesim2.sim";"1699873233.136859460";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.393161])";"30";"turtlesim1.sim";"1699873233.136733472";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.378344])";"30";"turtlesim3.sim";"1699873233.127217685";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.378344])";"30";"turtlesim2.sim";"1699873233.121423680";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.385753])";"30";"turtlesim1.sim";"1699873233.121146512";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.370936])";"30";"turtlesim3.sim";"1699873233.110749085";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.370936])";"30";"turtlesim2.sim";"1699873233.105538943";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.378344])";"30";"turtlesim1.sim";"1699873233.104410317";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.363528])";"30";"turtlesim3.sim";"1699873233.095516436";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.363528])";"30";"turtlesim2.sim";"1699873233.089103739";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.370936])";"30";"turtlesim1.sim";"1699873233.088894639";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.356119])";"30";"turtlesim3.sim";"1699873233.078931253";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.356119])";"30";"turtlesim2.sim";"1699873233.072793658";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.363528])";"30";"turtlesim1.sim";"1699873233.072445136";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.348711])";"30";"turtlesim3.sim";"1699873233.063544624";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.348711])";"30";"turtlesim2.sim";"1699873233.057426738";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.356119])";"30";"turtlesim1.sim";"1699873233.056956527";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.341303])";"30";"turtlesim3.sim";"1699873233.047453433";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.341303])";"30";"turtlesim2.sim";"1699873233.041822884";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.348711])";"30";"turtlesim1.sim";"1699873233.041012522";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.333895])";"30";"turtlesim3.sim";"1699873233.031180172";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.333895])";"30";"turtlesim2.sim";"1699873233.025493463";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.341303])";"30";"turtlesim1.sim";"1699873233.024651505";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.326486])";"30";"turtlesim3.sim";"1699873233.014702403";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.326486])";"30";"turtlesim2.sim";"1699873233.008828717";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.333895])";"30";"turtlesim1.sim";"1699873233.008671829";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.319078])";"30";"turtlesim3.sim";"1699873232.999372393";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.319078])";"30";"turtlesim2.sim";"1699873232.993401719";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.326486])";"30";"turtlesim1.sim";"1699873232.992175861";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.311670])";"30";"turtlesim3.sim";"1699873232.983109792";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.311670])";"30";"turtlesim2.sim";"1699873232.977696928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.319078])";"30";"turtlesim1.sim";"1699873232.976671088";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.304261])";"30";"turtlesim3.sim";"1699873232.966772038";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.304261])";"30";"turtlesim2.sim";"1699873232.960923516";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.311670])";"30";"turtlesim1.sim";"1699873232.960776288";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.296853])";"30";"turtlesim3.sim";"1699873232.950675348";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.296853])";"30";"turtlesim2.sim";"1699873232.945204835";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.304261])";"30";"turtlesim1.sim";"1699873232.944202733";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.289445])";"30";"turtlesim3.sim";"1699873232.934866452";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.289445])";"30";"turtlesim2.sim";"1699873232.929678855";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.296853])";"30";"turtlesim1.sim";"1699873232.928902791";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.282036])";"30";"turtlesim3.sim";"1699873232.919576150";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.289445])";"30";"turtlesim1.sim";"1699873232.913154764";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.282036])";"30";"turtlesim2.sim";"1699873232.913147628";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.274628])";"30";"turtlesim3.sim";"1699873232.903256200";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.274628])";"30";"turtlesim2.sim";"1699873232.897583428";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.282036])";"30";"turtlesim1.sim";"1699873232.896790502";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.267220])";"30";"turtlesim3.sim";"1699873232.886761810";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.267220])";"30";"turtlesim2.sim";"1699873232.881176634";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.274628])";"30";"turtlesim1.sim";"1699873232.880350425";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.259811])";"30";"turtlesim3.sim";"1699873232.871419718";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.267220])";"30";"turtlesim1.sim";"1699873232.864817924";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.259811])";"30";"turtlesim2.sim";"1699873232.864786223";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.252403])";"30";"turtlesim3.sim";"1699873232.854811343";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.252403])";"30";"turtlesim2.sim";"1699873232.849354140";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.259811])";"30";"turtlesim1.sim";"1699873232.848257261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.244995])";"30";"turtlesim3.sim";"1699873232.839407618";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.244995])";"30";"turtlesim2.sim";"1699873232.833722942";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.252403])";"30";"turtlesim1.sim";"1699873232.832539693";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.237586])";"30";"turtlesim3.sim";"1699873232.823131924";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.237586])";"30";"turtlesim2.sim";"1699873232.817174322";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.244995])";"30";"turtlesim1.sim";"1699873232.816752693";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.230178])";"30";"turtlesim3.sim";"1699873232.807768013";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.230178])";"30";"turtlesim2.sim";"1699873232.801279580";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.237586])";"30";"turtlesim1.sim";"1699873232.800508094";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.222770])";"30";"turtlesim3.sim";"1699873232.791271080";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.222770])";"30";"turtlesim2.sim";"1699873232.785536255";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.230178])";"30";"turtlesim1.sim";"1699873232.784608063";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.215362])";"30";"turtlesim3.sim";"1699873232.774748352";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.215362])";"30";"turtlesim2.sim";"1699873232.769022392";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.222770])";"30";"turtlesim1.sim";"1699873232.768880204";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.207953])";"30";"turtlesim3.sim";"1699873232.759479973";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.207953])";"30";"turtlesim2.sim";"1699873232.753297035";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.215362])";"30";"turtlesim1.sim";"1699873232.752382611";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.200545])";"30";"turtlesim3.sim";"1699873232.743292391";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.200545])";"30";"turtlesim2.sim";"1699873232.736738887";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.207953])";"30";"turtlesim1.sim";"1699873232.736702151";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.193137])";"30";"turtlesim3.sim";"1699873232.727215498";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.193137])";"30";"turtlesim2.sim";"1699873232.721096122";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.200545])";"30";"turtlesim1.sim";"1699873232.720236097";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.185728])";"30";"turtlesim3.sim";"1699873232.710615313";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.185728])";"30";"turtlesim2.sim";"1699873232.704695059";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.193137])";"30";"turtlesim1.sim";"1699873232.704659610";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.178320])";"30";"turtlesim3.sim";"1699873232.695421988";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.185728])";"30";"turtlesim1.sim";"1699873232.689124806";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.178320])";"30";"turtlesim2.sim";"1699873232.689072676";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.170912])";"30";"turtlesim3.sim";"1699873232.679280521";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.170912])";"30";"turtlesim2.sim";"1699873232.673225153";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.178320])";"30";"turtlesim1.sim";"1699873232.673070289";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.163503])";"30";"turtlesim3.sim";"1699873232.663085890";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.163503])";"30";"turtlesim2.sim";"1699873232.657479712";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.170912])";"30";"turtlesim1.sim";"1699873232.656669771";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.156095])";"30";"turtlesim3.sim";"1699873232.646979257";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.163503])";"30";"turtlesim1.sim";"1699873232.640956747";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.156095])";"30";"turtlesim2.sim";"1699873232.640952311";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.148687])";"30";"turtlesim3.sim";"1699873232.631380130";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.148687])";"30";"turtlesim2.sim";"1699873232.625553543";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.156095])";"30";"turtlesim1.sim";"1699873232.625246434";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.141278])";"30";"turtlesim3.sim";"1699873232.614858762";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.141278])";"30";"turtlesim2.sim";"1699873232.608764441";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.148687])";"30";"turtlesim1.sim";"1699873232.608627163";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.133870])";"30";"turtlesim3.sim";"1699873232.599461542";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.133870])";"30";"turtlesim2.sim";"1699873232.593179070";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.141278])";"30";"turtlesim1.sim";"1699873232.592263664";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.126462])";"30";"turtlesim3.sim";"1699873232.583188309";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.126462])";"30";"turtlesim2.sim";"1699873232.577598649";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.133870])";"30";"turtlesim1.sim";"1699873232.576726582";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.119053])";"30";"turtlesim3.sim";"1699873232.566652377";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.119053])";"30";"turtlesim2.sim";"1699873232.561806718";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.126462])";"30";"turtlesim1.sim";"1699873232.560615053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.111645])";"30";"turtlesim3.sim";"1699873232.551407365";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.111645])";"30";"turtlesim2.sim";"1699873232.545155758";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.119053])";"30";"turtlesim1.sim";"1699873232.544313654";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.104237])";"30";"turtlesim3.sim";"1699873232.535116289";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.104237])";"30";"turtlesim2.sim";"1699873232.529887632";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.111645])";"30";"turtlesim1.sim";"1699873232.528695013";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.096828])";"30";"turtlesim3.sim";"1699873232.518733380";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.104237])";"30";"turtlesim1.sim";"1699873232.512984426";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.096828])";"30";"turtlesim2.sim";"1699873232.512963768";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.089420])";"30";"turtlesim3.sim";"1699873232.502599289";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.089420])";"30";"turtlesim2.sim";"1699873232.497424933";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.096828])";"30";"turtlesim1.sim";"1699873232.496490649";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.082012])";"30";"turtlesim3.sim";"1699873232.487245513";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.082012])";"30";"turtlesim2.sim";"1699873232.480825852";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.089420])";"30";"turtlesim1.sim";"1699873232.480716658";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.074604])";"30";"turtlesim3.sim";"1699873232.470817613";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.074604])";"30";"turtlesim2.sim";"1699873232.465247613";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.082012])";"30";"turtlesim1.sim";"1699873232.464333356";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.067195])";"30";"turtlesim3.sim";"1699873232.455475968";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.067195])";"30";"turtlesim2.sim";"1699873232.449703238";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.074604])";"30";"turtlesim1.sim";"1699873232.448795915";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.059787])";"30";"turtlesim3.sim";"1699873232.439016124";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.059787])";"30";"turtlesim2.sim";"1699873232.432950126";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.067195])";"30";"turtlesim1.sim";"1699873232.432710920";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.052379])";"30";"turtlesim3.sim";"1699873232.422661589";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.052379])";"30";"turtlesim2.sim";"1699873232.417600337";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.059787])";"30";"turtlesim1.sim";"1699873232.417070844";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.044970])";"30";"turtlesim3.sim";"1699873232.407422738";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.044970])";"30";"turtlesim2.sim";"1699873232.401132939";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.052379])";"30";"turtlesim1.sim";"1699873232.400291982";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.037562])";"30";"turtlesim3.sim";"1699873232.390736834";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.037562])";"30";"turtlesim2.sim";"1699873232.384679840";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.044970])";"30";"turtlesim1.sim";"1699873232.384616433";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.030154])";"30";"turtlesim3.sim";"1699873232.375268491";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.030154])";"30";"turtlesim2.sim";"1699873232.369445595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.037562])";"30";"turtlesim1.sim";"1699873232.369112064";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.022745])";"30";"turtlesim3.sim";"1699873232.359068839";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.030154])";"30";"turtlesim1.sim";"1699873232.353518756";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.022745])";"30";"turtlesim2.sim";"1699873232.352864267";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.015337])";"30";"turtlesim3.sim";"1699873232.342838043";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.022745])";"30";"turtlesim1.sim";"1699873232.337384437";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.015337])";"30";"turtlesim2.sim";"1699873232.337363535";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.007929])";"30";"turtlesim3.sim";"1699873232.327516236";"./src/turtle.cpp:update:260"
